Predicted Emotion,Probability
happy,0.597236
sad,0.43627894
happy,0.44132826
happy,0.6473686
happy,0.63691986
happy,0.37904528
happy,0.38215974
happy,0.48870212
happy,0.5942008
happy,0.40698078
happy,0.5994302
happy,0.5902259
happy,0.5351918
happy,0.35718766
happy,0.5130411
happy,0.47995228
sad,0.29626173
neutral,0.2933156
sad,0.3553298
sad,0.38810003
sad,0.46825245
neutral,0.3451302
scared,0.2596782
scared,0.32504064
neutral,0.5838488
neutral,0.564653
