Predicted Emotion,Probability
happy,0.35842907
happy,0.34904304
scared,0.4164817
scared,0.4733368
scared,0.37148544
scared,0.41297227
scared,0.39942655
scared,0.44704065
scared,0.50901926
scared,0.4677245
scared,0.43371457
scared,0.5755741
scared,0.56310064
scared,0.55642205
scared,0.6090458
scared,0.50356776
scared,0.44450548
scared,0.56205577
scared,0.5306321
scared,0.55364627
neutral,0.6269087
neutral,0.44939464
surprised,0.39033508
neutral,0.3887224
neutral,0.3644816
neutral,0.33300892
neutral,0.45272166
neutral,0.37025258
neutral,0.48305902
neutral,0.4175752
neutral,0.3345839
surprised,0.36893344
neutral,0.5759058
surprised,0.45114392
surprised,0.6556755
